date,description,amount
2024-01-01,Supermarket,-45.20
02-01-2024,Salary,2500.00
03/01/2024,Coffee,"-3,50"
2024-01-04,Netflix,-12.99
2024-01-05,Spotify,-9.99
2024-01-06,Restaurant,-32.40
2024-01-07,Salary,2500
2024-01-08,Supermarket,-67.10
2024-01-09,Coffee,-4.20
2024-01-10,Amazon,-120.50
2024-01-11,Lidl,-54.30
2024-01-12,Train Ticket,-18.70
2024-01-13,Cinema,-15.00
2024-01-14,Salary,2500
2024-01-15,Electricity Bill,-89.20
2024-01-16,Water Bill,-25.10
2024-01-17,Supermarket,-48.90
2024-01-18,Coffee,-3.10
2024-01-19,Uber,-14.80
2024-01-20,Restaurant,-41.00
2024-01-21,Salary,2500
2024-01-22,Supermarket,-62.70
2024-01-23,Netflix,-12.99
2024-01-24,Coffee,-3.60
2024-01-25,Amazon,-210.00
2024-01-26,Lidl,-55.20
2024-01-27,Restaurant,-38.50
2024-01-28,Spotify,-9.99
2024-01-29,Salary,2500
2024-01-30,Supermarket,-70.00

invalid-date,Gym,-29.99
2024-02-01,Invalid Amount,abc
2024-02-02,Large Transfer,2000000
